,mouse,session,nnID,stim_pair,A,B,delay,delayB,delayA,dists
121,2022-04-27,22-14-47,22,"(('C', '0'), ('H', '-3'))",C_087890_semitone_0,H_104560_semitone_-3,20,20,0,31.686485171676047
122,2022-05-20,18-51-44,23,"(('A', '0'), ('D', '-2'))",D_067750_semitone_-2,A_009580_semitone_0,10,10,0,51.71503587695497
123,2022-05-20,18-51-44,23,"(('D', '-2'), ('D', '0'))",D_067750_semitone_-2,D_067750_semitone_0,10,10,0,48.56322363549436
124,2022-05-20,18-51-44,23,"(('A', '-2'), ('D', '0'))",A_009580_semitone_-2,D_067750_semitone_0,-10,0,10,57.52469039816464
125,2022-05-20,19-57-01,24,AE,A_098600,E_003790,10,10,0,44.93315837860002
126,2022-05-20,19-57-01,24,BD,B_091560,D_023480,0,0,0,55.780047777200416
127,2022-05-20,19-57-01,25,BD,B_091560,D_023480,20,20,0,53.18105319456706
128,2022-05-20,19-57-01,26,BD,B_091560,D_023480,20,20,0,53.18105319456706
129,2022-06-01,17-25-22,27,JL,J_091560,L_118400,-20,0,20,46.58271268257222
130,2022-06-01,19-20-10,27,"(('J', '0'), ('L', '-2'))",J_091560_semitone_0,L_118400_semitone_-2,-10,0,10,53.20395868549477
131,2022-06-01,19-20-10,27,"(('I', '-2'), ('K', '1'))",I_045160_semitone_-2,K_093850_semitone_1,-20,0,20,53.33915496505691
132,2022-06-01,17-25-22,28,IK,I_045160,K_093850,-20,0,20,56.64271665231055
133,2022-06-20,21-46-19,29,"(('G', '0'), ('N', '-1'))",N_068420_semitone_-1,G_012380_semitone_0,-20,0,20,57.67919572704415
134,2022-06-20,21-46-19,29,"(('N', '0'), ('S', '2'))",S_093870_semitone_2,N_068420_semitone_0,-20,0,20,45.697843985333186
135,2022-06-20,21-46-19,29,"(('G', '0'), ('L', '-2'))",L_046220_semitone_-2,G_012380_semitone_0,-10,0,10,63.91078992826579
136,2022-07-01,18-45-33,30,"(('I', '-4'), ('O', '2'))",I_011250_semitone_-4,O_091570_semitone_2,10,10,0,59.54299144757146
137,2022-07-01,18-45-33,30,"(('F', '-6'), ('R', '0'))",F_005810_semitone_-6,R_101810_semitone_0,-10,0,10,61.80206165746542
138,2022-07-01,18-45-33,30,"(('Q', '-1'), ('R', '0'))",Q_093840_semitone_-1,R_101810_semitone_0,0,0,0,48.31293386630548
139,2022-07-01,18-45-33,30,"(('Q', '-6'), ('R', '1'))",Q_093840_semitone_-6,R_101810_semitone_1,20,20,0,59.094401156516234
140,2022-07-01,18-45-33,30,"(('Q', '-2'), ('R', '2'))",Q_093840_semitone_-2,R_101810_semitone_2,0,0,0,56.93298250122472
141,2022-07-01,18-45-33,30,"(('I', '-2'), ('O', '0'))",I_011250_semitone_-2,O_091570_semitone_0,20,20,0,57.57577470074041
142,2022-07-01,18-45-33,30,"(('I', '-6'), ('O', '2'))",I_011250_semitone_-6,O_091570_semitone_2,20,20,0,62.56738132371914
143,2022-07-01,20-58-11,30,"(('F', '-5'), ('I', '-2'))",F_005810_semitone_-5,I_011250_semitone_-2,-20,0,20,47.69827112847313
144,2022-07-01,20-58-11,30,"(('I', '-6'), ('R', '0'))",I_011250_semitone_-6,R_101810_semitone_0,0,0,0,62.34527433222235
145,2022-07-01,20-58-11,30,"(('I', '-5'), ('R', '-5'))",R_101810_semitone_-5,I_011250_semitone_-5,20,20,0,45.98060262440393
146,2022-07-01,20-58-11,30,"(('Q', '-6'), ('R', '2'))",R_101810_semitone_2,Q_093840_semitone_-6,10,10,0,59.1597821114545
147,2022-07-01,20-58-11,30,"(('I', '-6'), ('R', '1'))",R_101810_semitone_1,I_011250_semitone_-6,20,20,0,58.15738501980179
148,2022-07-01,20-58-11,30,"(('Q', '-5'), ('R', '2'))",R_101810_semitone_2,Q_093840_semitone_-5,0,0,0,59.5806529587353
149,2022-07-01,20-58-11,30,"(('I', '-5'), ('R', '2'))",R_101810_semitone_2,I_011250_semitone_-5,-10,0,10,63.122132330734985
150,2022-07-01,20-58-11,30,"(('I', '-4'), ('R', '0'))",I_011250_semitone_-4,R_101810_semitone_0,0,0,0,58.29716264193527
151,2022-07-01,18-45-33,31,"(('I', '-4'), ('O', '2'))",I_011250_semitone_-4,O_091570_semitone_2,0,0,0,58.73176864101547
152,2022-07-01,18-45-33,31,"(('F', '-6'), ('R', '0'))",F_005810_semitone_-6,R_101810_semitone_0,0,0,0,61.19929386344426
153,2022-07-01,18-45-33,31,"(('Q', '-1'), ('R', '0'))",Q_093840_semitone_-1,R_101810_semitone_0,0,0,0,48.31293386630548
154,2022-07-01,18-45-33,31,"(('Q', '-6'), ('R', '1'))",Q_093840_semitone_-6,R_101810_semitone_1,0,0,0,58.199780197147305
155,2022-07-01,18-45-33,31,"(('Q', '-2'), ('R', '2'))",Q_093840_semitone_-2,R_101810_semitone_2,20,20,0,57.0596517615186
156,2022-07-01,18-45-33,31,"(('I', '-6'), ('O', '2'))",I_011250_semitone_-6,O_091570_semitone_2,10,10,0,61.677742787752805
157,2022-07-01,18-45-33,32,"(('Q', '-1'), ('R', '0'))",Q_093840_semitone_-1,R_101810_semitone_0,0,0,0,48.31293386630548
158,2022-07-01,18-45-33,32,"(('Q', '-2'), ('R', '2'))",Q_093840_semitone_-2,R_101810_semitone_2,0,0,0,56.93298250122472
159,2022-07-01,20-58-11,32,"(('F', '-5'), ('I', '-2'))",F_005810_semitone_-5,I_011250_semitone_-2,0,0,0,46.00074092415814
160,2022-07-01,20-58-11,32,"(('Q', '-5'), ('R', '2'))",R_101810_semitone_2,Q_093840_semitone_-5,-10,0,10,60.0186288814967
161,2022-07-11,19-43-46,33,"(('D', '3'), ('F', '-3'))",F_103760_semitone_-3,D_082620_semitone_3,10,10,0,6.726329714690755
162,2022-07-11,19-43-46,33,"(('E', '1'), ('F', '-3'))",F_103760_semitone_-3,E_089530_semitone_1,-10,0,10,34.01353284335664
163,2022-07-11,19-43-46,33,"(('A', '-1'), ('G', '2'))",A_092680_semitone_-1,G_108870_semitone_2,-10,0,10,18.036294773130205
164,2022-07-11,21-03-30,33,"(('A', '-1'), ('G', '2'))",A_092680_semitone_-1,G_108870_semitone_2,20,20,0,18.036380831221546
165,2022-07-13,18-35-56,34,"(('C', '1'), ('F', '-6'))",F_034390_semitone_-6,C_017330_semitone_1,0,0,0,34.208389669608096
166,2022-07-19,20-20-05,35,AJ,A_020190,J_086740,-10,0,10,16.580181150722442
167,2022-07-19,20-20-05,35,BD,B_026740,D_038140,0,0,0,25.746327791947305
168,2022-07-19,20-20-05,35,FL,F_056900,L_102170,-20,0,20,29.708127637780084
169,2022-07-19,20-20-05,35,FN,F_056900,N_108140,-20,0,20,19.613719990655227
170,2022-07-27,17-52-54,36,"(('D', '5'), ('F', '-7'))",D_067160_semitone_5,F_103860_semitone_-7,10,10,0,50.027604588228726
171,2022-07-27,17-52-54,36,"(('D', '-7'), ('F', '5'))",D_067160_semitone_-7,F_103860_semitone_5,-10,0,10,40.4725066892863
172,2022-08-04,19-57-12,37,"(('E', '0'), ('G', '0'))",G_023710_semitone_0,E_014310_semitone_0,20,20,0,56.92063183481119
173,2022-08-04,19-57-12,37,"(('D', '0'), ('O', '-6'))",D_012500_semitone_0,O_093320_semitone_-6,10,10,0,55.83941164848307
174,2022-08-04,19-57-12,37,"(('K', '-6'), ('Q', '0'))",Q_102400_semitone_0,K_084620_semitone_-6,10,10,0,50.554920597550655
175,2022-08-04,19-57-12,37,"(('D', '0'), ('O', '0'))",D_012500_semitone_0,O_093320_semitone_0,-20,0,20,54.062462949009216
176,2022-08-04,19-57-12,37,"(('E', '-5'), ('G', '0'))",G_023710_semitone_0,E_014310_semitone_-5,10,10,0,57.24583776725172
177,2022-08-04,19-57-12,37,"(('K', '0'), ('Q', '0'))",Q_102400_semitone_0,K_084620_semitone_0,0,0,0,54.574706368121404
178,2022-08-04,20-43-29,37,"(('B', '-1'), ('J', '-2'))",B_003880_semitone_-1,J_080050_semitone_-2,10,10,0,50.2680489654197
179,2022-08-04,20-43-29,37,"(('B', '-1'), ('J', '-6'))",B_003880_semitone_-1,J_080050_semitone_-6,0,0,0,49.727335199178405
