,mouse,session,unit_no,ch,stim_pair,nnID,A,B,tfA,tfB,eu,freq,temp,d
29,2022-03-04,20-14-56,18,19,IO,7,O_006510,I_100690,0.085,0.035,28.522610988500347,0.8608781056447449,0.6756190066973651,11.302291313365313
30,2022-03-04,20-14-56,18,19,JM,7,J_098850,M_015380,0.045,0.065,38.94839723779778,0.45007635388135864,0.8468317352494915,65.24913102159132
31,2022-03-04,20-14-56,18,19,JY,7,Y_036610,J_098850,0.035,0.045,41.743470129535275,0.4434880845010327,0.29057878098661144,40.56912647254083
32,2022-03-04,20-14-56,18,19,JZ,7,J_098850,Z_073300,0.045,0.055,41.416794435524466,0.5835104249635938,-0.17754892187059015,57.23439237960055
33,2022-03-04,20-14-56,18,19,KY,7,Y_036610,K_008510,0.035,0.065,34.344881932420165,0.8229655028484939,0.07609228756857352,30.523333357542942
34,2022-03-04,20-14-56,18,19,LM,7,L_091580,M_015380,0.035,0.065,41.34045477646336,0.4272664321931508,0.3775335558593479,64.74616111864579
35,2022-03-04,20-14-56,18,19,LZ,7,L_091580,Z_073300,0.035,0.055,40.44081444337646,0.6200835440368846,-0.5453930793603463,56.704916442436286
36,2022-03-04,17-21-03,4,5,BD,8,D_006070,B_111510,0.045,0.115,33.84027819773002,0.5794342296495676,-0.6338641307829876,11.263335780747752
37,2022-03-04,17-21-03,4,5,BE,8,E_073300,B_111510,0.055,0.115,48.227762507635056,0.581380379272604,-0.25953809995227467,3.186781434747257
38,2022-03-04,17-21-03,4,5,CE,8,E_073300,C_106740,0.055,0.045,48.938799838885046,-0.00045384966162119575,-0.020464165739984604,25.419680949100332
39,2022-03-04,19-41-03,40,26,"(('F', '3'), ('G', '-3'))",8,G_073300_semitone_-3,F_006070_semitone_3,0.055,0.055,50.99763846823107,0.058658608624737776,0.10311541978030095,62.550067656793516
40,2022-03-04,19-41-03,40,26,"(('A', '-2'), ('H', '2'))",8,H_073300_semitone_2,A_006070_semitone_-2,0.055,0.065,50.20416748228557,0.31833757829918147,-0.014955513339387164,24.343497730399243
41,2022-03-04,19-41-03,40,26,"(('A', '-2'), ('F', '3'))",8,A_006070_semitone_-2,F_006070_semitone_3,0.065,0.055,38.60996795876397,0.14733235313425175,0.7692682877304893,45.44817614814957
42,2022-03-04,19-41-03,40,26,"(('G', '-3'), ('H', '2'))",8,H_073300_semitone_2,G_073300_semitone_-3,0.055,0.055,57.86071584864166,0.14605355280021376,0.9272189243743924,40.72072017425575
43,2022-03-04,20-14-56,35,26,IN,8,N_008000,I_100690,0.055,0.035,33.18029979524544,0.8774038443369901,0.6155078201997691,10.428934534085869
44,2022-03-04,20-14-56,35,26,IO,8,O_006510,I_100690,0.085,0.035,28.522610988500347,0.8608781056447449,0.6756190066973651,11.302291313365313
45,2022-03-04,20-14-56,35,26,JM,8,J_098850,M_015380,0.045,0.065,38.94839723779778,0.45007635388135864,0.8468317352494915,65.24913102159132
46,2022-03-04,20-14-56,35,26,JZ,8,J_098850,Z_073300,0.045,0.055,41.416794435524466,0.5835104249635938,-0.17754892187059015,57.23439237960055
47,2022-03-04,20-14-56,35,26,LM,8,L_091580,M_015380,0.035,0.065,41.34045477646336,0.4272664321931508,0.3775335558593479,64.74616111864579
48,2022-03-04,20-14-56,35,26,LZ,8,L_091580,Z_073300,0.035,0.055,40.44081444337646,0.6200835440368846,-0.5453930793603463,56.704916442436286
49,2022-03-04,17-21-03,46,23,BD,9,B_111510,D_006070,0.145,0.105,15.771179471341206,0.46338410441566397,0.7367092841777165,15.237047605392647
50,2022-03-04,17-21-03,46,23,BE,9,B_111510,E_073300,0.145,0.035,38.5150938363025,0.6042115896961008,-0.8259846233767573,4.14061626525141
51,2022-03-04,17-21-03,46,23,CE,9,C_106740,E_073300,0.115,0.035,38.100389593758145,0.24708668448660726,-0.23950798194666348,13.208806625444003
52,2022-03-04,19-41-03,40,26,"(('F', '3'), ('G', '-3'))",9,G_073300_semitone_-3,F_006070_semitone_3,0.055,0.055,50.99763846823107,0.058658608624737776,0.10311541978030095,62.550067656793516
53,2022-03-04,19-41-03,40,26,"(('A', '-2'), ('H', '2'))",9,H_073300_semitone_2,A_006070_semitone_-2,0.055,0.065,50.20416748228557,0.31833757829918147,-0.014955513339387164,24.343497730399243
54,2022-03-04,19-41-03,40,26,"(('A', '-2'), ('F', '3'))",9,A_006070_semitone_-2,F_006070_semitone_3,0.065,0.055,38.60996795876397,0.14733235313425175,0.7692682877304893,45.44817614814957
55,2022-03-04,19-41-03,40,26,"(('G', '-3'), ('H', '2'))",9,H_073300_semitone_2,G_073300_semitone_-3,0.055,0.055,57.86071584864166,0.14605355280021376,0.9272189243743924,40.72072017425575
56,2022-03-04,20-14-56,35,26,IN,9,N_008000,I_100690,0.055,0.035,33.18029979524544,0.8774038443369901,0.6155078201997691,10.428934534085869
57,2022-03-04,20-14-56,35,26,IO,9,O_006510,I_100690,0.085,0.035,28.522610988500347,0.8608781056447449,0.6756190066973651,11.302291313365313
58,2022-03-04,20-14-56,35,26,JM,9,J_098850,M_015380,0.045,0.065,38.94839723779778,0.45007635388135864,0.8468317352494915,65.24913102159132
59,2022-03-04,20-14-56,35,26,JY,9,Y_036610,J_098850,0.035,0.045,41.743470129535275,0.4434880845010327,0.29057878098661144,40.56912647254083
60,2022-03-04,20-14-56,35,26,JZ,9,J_098850,Z_073300,0.045,0.055,41.416794435524466,0.5835104249635938,-0.17754892187059015,57.23439237960055
61,2022-03-04,20-14-56,35,26,KY,9,Y_036610,K_008510,0.035,0.135,34.469612988010624,0.5087133362054452,0.32513875913972873,35.969761246817036
62,2022-03-04,20-14-56,35,26,LM,9,L_091580,M_015380,0.035,0.065,41.34045477646336,0.4272664321931508,0.3775335558593479,64.74616111864579
63,2022-03-04,20-14-56,35,26,LZ,9,L_091580,Z_073300,0.035,0.055,40.44081444337646,0.6200835440368846,-0.5453930793603463,56.704916442436286
64,2022-03-08,17-19-19,41,25,AG,10,G_011500,A_026430,0.095,0.045,35.997244309595345,0.7331536607496169,0.9424900076436502,23.413625982158838
65,2022-03-08,17-19-19,41,25,DG,10,D_000650,G_011500,0.065,0.095,37.76937555811054,0.7077098623674645,-0.21770004108875773,52.7094471091798
66,2022-03-08,17-19-19,41,25,KN,10,N_094200,K_073050,0.115,0.035,41.8779983033636,0.5242587275830357,-0.03366187713664234,27.431124176211522
67,2022-03-08,17-19-19,41,25,KR,10,K_073050,R_091720,0.035,0.035,40.86911907042823,0.7697279423324325,0.5986596732361114,11.546874788087626
68,2022-03-08,17-19-19,41,25,LO,10,O_012390,L_014280,0.035,0.035,40.12883703248934,0.8859601982130135,0.7003212283026471,14.884778983771682
69,2022-03-08,17-19-19,41,25,MQ,10,Q_045180,M_101650,0.075,0.115,38.54072689909165,0.43574309653056964,0.04472609071454559,46.881850738353926
70,2022-03-08,20-42-19,47,25,"(('B', '-6'), ('E', '0'))",10,B_012390_semitone_-6,E_014280_semitone_0,0.035,0.035,45.65050831181308,0.24276609378667915,0.8021301784378262,47.594803942849445
71,2022-03-08,20-42-19,47,25,"(('H', '-6'), ('Y', '2'))",10,H_045180_semitone_-6,Y_026430_semitone_2,0.075,0.045,36.706667082055915,-0.040762014298557754,-0.09193445123019445,82.08270110792913
72,2022-03-08,20-42-19,47,25,"(('F', '6'), ('X', '-4'))",10,X_014280_semitone_-4,F_014280_semitone_6,0.045,0.045,53.337877026840985,-0.06133228012946995,0.8737333424266951,67.50407503147123
73,2022-03-08,20-42-19,47,25,"(('C', '0'), ('Z', '-6'))",10,Z_000650_semitone_-6,C_012390_semitone_0,0.075,0.035,44.684279506510556,0.2526809723100802,-0.389627697250772,51.94012769919614
74,2022-03-08,20-42-19,47,25,"(('C', '0'), ('I', '-6'))",10,I_091720_semitone_-6,C_012390_semitone_0,0.055,0.035,40.729621406827704,0.5131036689807239,-0.06822672281035501,46.66036036201277
75,2022-03-08,20-42-19,47,25,"(('F', '6'), ('J', '-4'))",10,J_094200_semitone_-4,F_014280_semitone_6,0.105,0.045,55.2426523865765,-0.2299918573634739,-0.31880939287274074,58.4562342683285
76,2022-03-08,20-42-19,1,0,"(('B', '-6'), ('E', '0'))",11,B_012390_semitone_-6,E_014280_semitone_0,0.045,0.045,43.67363416486794,0.37936782681339704,0.5713879006364974,20.244257624463227
77,2022-03-08,20-42-19,1,0,"(('H', '-6'), ('Y', '2'))",11,Y_026430_semitone_2,H_045180_semitone_-6,0.065,0.075,30.800054814723186,0.03560780195780186,0.08130919275136364,44.61650987886727
78,2022-03-08,20-42-19,1,0,"(('F', '6'), ('X', '-4'))",11,X_014280_semitone_-4,F_014280_semitone_6,0.055,0.045,54.525650471374234,-0.21700355119064887,-0.49965795707753996,69.71746800643949
79,2022-03-08,20-42-19,1,0,"(('C', '0'), ('Z', '-6'))",11,C_012390_semitone_0,Z_000650_semitone_-6,0.045,0.085,48.2798712051027,0.23176715866217984,-0.7018502695232409,55.47526681736565
80,2022-03-08,20-42-19,1,0,"(('C', '0'), ('I', '-6'))",11,C_012390_semitone_0,I_091720_semitone_-6,0.045,0.055,42.71827056952747,0.46286913556324666,-0.7112946630009354,57.33306076494395
81,2022-03-08,20-42-19,1,0,"(('F', '6'), ('J', '-4'))",11,F_014280_semitone_6,J_094200_semitone_-4,0.045,0.055,56.783670899235325,-0.16458128681252762,-0.19082501602793756,53.97631887079466
82,2022-03-08,17-19-19,42,24,AG,12,G_011500,A_026430,0.045,0.045,44.226905768833774,0.5064006755493399,-0.9332080564722538,26.992028346507986
83,2022-03-08,17-19-19,42,24,DG,12,D_000650,G_011500,0.055,0.045,40.82024522498195,0.4819155856663694,-0.6829760119581876,65.30905566942008
84,2022-03-08,17-19-19,42,24,KN,12,N_094200,K_073050,0.045,0.065,42.4887280674112,0.6907621842448408,-0.4184922990411253,11.63965519583007
85,2022-03-08,17-19-19,42,24,KR,12,K_073050,R_091720,0.065,0.065,38.239443578299266,0.8114009396718133,-0.6230462799705547,40.437520250715224
86,2022-03-08,17-19-19,42,24,LO,12,O_012390,L_014280,0.055,0.095,46.13226741976128,0.5754950741993483,0.2580672910825424,17.854824355123913
87,2022-03-08,17-19-19,42,24,MQ,12,Q_045180,M_101650,0.045,0.045,40.63659386370284,0.4442175551451016,-0.07087851227529782,34.81336906598269
88,2022-03-11,20-19-27,11,7,DF,13,D_003760,F_023880,0.045,0.135,43.56531625416484,0.2678348250299488,-0.21299560377564683,12.57197167111152
89,2022-03-11,20-19-27,11,7,HJ,13,H_009840,J_073060,0.105,0.045,41.985090424509224,0.6263922726461352,-0.7786987022898196,58.243156473894125
90,2022-03-11,20-19-27,36,19,DF,14,F_023880,D_003760,0.055,0.045,37.69986865306903,0.5199974906021182,0.8374104864261865,8.66437205042195
91,2022-03-11,20-19-27,36,19,HJ,14,J_073060,H_009840,0.045,0.045,41.342297422158666,0.7758531111933283,0.5160195077324122,41.42733825869329
92,2022-03-11,21-06-17,35,19,"(('D', '-2'), ('F', '1'))",14,D_003760_semitone_-2,F_023880_semitone_1,0.045,0.045,33.28643548786342,0.582121228699193,0.7403685626987662,44.26262899406423
93,2022-03-11,21-06-17,35,19,"(('H', '1'), ('J', '-2'))",14,H_009840_semitone_1,J_073060_semitone_-2,0.055,0.045,45.65095683965906,0.3821665875643471,-0.5900944974127532,35.07085542232822
94,2022-03-11,21-47-32,35,16,"(('D', '-2'), ('F', '0'))",14,F_023880_semitone_0,D_003760_semitone_-2,0.055,0.045,28.759654644716516,0.7139114092305994,0.7341193966750096,3.3615451578952493
95,2022-03-11,21-47-32,35,16,"(('H', '2'), ('J', '-2'))",14,H_009840_semitone_2,J_073060_semitone_-2,0.055,0.045,47.5876431903145,0.2902752257838675,-0.6165920453667256,27.283574267597395
96,2022-03-11,20-19-27,46,23,DF,15,D_003760,F_023880,0.125,0.115,33.912887798998575,0.620691119302676,0.7156365382052873,40.89297026932393
97,2022-03-11,20-19-27,46,23,HJ,15,H_009840,J_073060,0.135,0.055,44.43637953675315,0.6566900451432073,-0.5808046142308069,61.715933436148646
98,2022-03-11,21-06-17,51,23,"(('D', '-2'), ('F', '1'))",15,D_003760_semitone_-2,F_023880_semitone_1,0.145,0.135,35.34305834118294,0.4278096604291264,0.7321384771539108,23.934219294485157
99,2022-03-11,21-06-17,51,23,"(('H', '1'), ('J', '-2'))",15,J_073060_semitone_-2,H_009840_semitone_1,0.105,0.065,39.58822388316586,0.3646353233337291,0.8623671340049188,28.385420101846638
100,2022-03-11,21-47-32,45,23,"(('D', '-2'), ('F', '0'))",15,D_003760_semitone_-2,F_023880_semitone_0,0.125,0.115,32.51182029012614,0.6073247951461107,0.6195690767448787,28.04642698097369
101,2022-03-11,21-47-32,45,23,"(('H', '2'), ('J', '-2'))",15,H_009840_semitone_2,J_073060_semitone_-2,0.065,0.055,45.962165417223964,0.3418661930181806,-0.7446107111350351,34.61566774651197
102,2022-03-25,20-32-52,7,14,"(('C', '-6'), ('D', '0'))",16,D_008870_semitone_0,C_080950_semitone_-6,0.095,0.065,11.066216778742028,-0.07703751253286162,0.7666832150017615,64.458876382118
103,2022-03-25,19-42-54,29,20,"(('A', '-4'), ('B', '0'))",17,B_011500_semitone_0,A_096570_semitone_-4,0.085,0.085,46.798444582909276,-0.04410650247769769,0.683444212459769,36.846150686988324
104,2022-03-25,20-32-52,25,20,"(('A', '0'), ('B', '-6'))",17,A_096570_semitone_0,B_011500_semitone_-6,0.075,0.035,39.62987174464982,0.36994824979359436,-0.6340431343650508,19.03399155519498
105,2022-03-25,20-32-52,25,20,"(('C', '-6'), ('D', '0'))",17,C_080950_semitone_-6,D_008870_semitone_0,0.035,0.065,22.416955111611042,-0.09000307853763471,0.7703583562716264,59.57624707027444
106,2022-03-25,19-42-54,6,11,"(('A', '-4'), ('B', '0'))",18,A_096570_semitone_-4,B_011500_semitone_0,0.085,0.095,46.798444582909276,-0.04410650247769769,0.6834442124597689,36.846150686988324
107,2022-03-25,19-42-54,6,11,"(('C', '-4'), ('D', '0'))",18,D_008870_semitone_0,C_080950_semitone_-4,0.075,0.075,12.248174989547042,-0.07728270307440295,0.8904962652531332,63.00602879253657
108,2022-03-25,20-32-52,5,11,"(('A', '0'), ('B', '-6'))",18,B_011500_semitone_-6,A_096570_semitone_0,0.045,0.075,38.3004463845757,0.4647429770639229,-0.46204916717998684,18.823172344521637
109,2022-03-25,20-32-52,5,11,"(('C', '-6'), ('D', '0'))",18,C_080950_semitone_-6,D_008870_semitone_0,0.045,0.075,16.427807208302017,-0.08244260044773598,0.3550307846986917,59.28716039682223
110,2022-04-27,21-58-28,25,12,"(('C', '-4'), ('I', '-6'))",19,C_087890_semitone_-4,I_018750_semitone_-6,0.065,0.065,18.365806236733142,0.41919210611814167,0.7210883550044073,53.466425001888695
111,2022-04-27,21-58-28,25,12,"(('H', '-3'), ('I', '-6'))",19,I_018750_semitone_-6,H_104560_semitone_-3,0.065,0.065,18.855353711958244,0.5049579725360845,0.9566841803058508,37.47784786871627
112,2022-04-27,21-58-28,64,24,"(('C', '-4'), ('I', '-6'))",20,C_087890_semitone_-4,I_018750_semitone_-6,0.065,0.055,18.539884501332363,0.5572374619396143,0.7322149979947034,49.22271405318156
113,2022-04-27,21-58-28,64,24,"(('H', '-3'), ('I', '-6'))",20,I_018750_semitone_-6,H_104560_semitone_-3,0.055,0.055,22.474701640888266,0.5583355399121931,0.9028275306305776,21.976682339859302
